1440 960
GROUND X44Y29;
GROUND X44Y28;
GROUND X44Y27;
GROUND X44Y26;
GROUND X44Y25;
GROUND X44Y24;
GROUND X44Y23;
GROUND X44Y22;
GROUND X44Y21;
GROUND X44Y20;
GROUND X44Y19;
GROUND X44Y18;
GROUND X44Y17;
GROUND X44Y16;
GROUND X44Y15;
GROUND X44Y14;
GROUND X44Y13;
GROUND X44Y12;
GROUND X44Y11;
GROUND X44Y10;
GROUND X44Y9;
GROUND X44Y8;
GROUND X44Y7;
GROUND X44Y6;
GROUND X44Y5;
GROUND X44Y4;
GROUND X44Y3;
GROUND X44Y2;
GROUND X44Y1;
GROUND X44Y0;
GROUND X43Y29;
GROUND X43Y28;
GROUND X43Y27;
GROUND X43Y26;
GROUND X43Y25;
GROUND X43Y24;
GROUND X43Y23;
GROUND X43Y22;
GROUND X43Y21;
GROUND X43Y20;
GROUND X43Y19;
GROUND X43Y18;
GROUND X43Y17;
GROUND X43Y16;
GROUND X43Y15;
GROUND X43Y14;
GROUND X43Y13;
GROUND X43Y12;
GROUND X43Y11;
GROUND X43Y10;
GROUND X43Y9;
GROUND X43Y8;
GROUND X43Y7;
GROUND X43Y6;
GROUND X43Y5;
GROUND X43Y4;
GROUND X43Y3;
GROUND X43Y2;
GROUND X43Y1;
GROUND X43Y0;
GROUND X42Y29;
GROUND X42Y28;
GROUND X42Y27;
GROUND X42Y26;
GROUND X42Y25;
GROUND X42Y24;
GROUND X42Y23;
GROUND X42Y22;
GROUND X42Y21;
GROUND X42Y20;
GROUND X42Y19;
GROUND X42Y18;
GROUND X42Y17;
GROUND X42Y16;
GROUND X42Y15;
GROUND X42Y14;
GROUND X42Y13;
GROUND X42Y12;
GROUND X42Y11;
GROUND X42Y10;
GROUND X42Y9;
GROUND X42Y8;
GROUND X42Y7;
GROUND X42Y6;
GROUND X42Y5;
GROUND X42Y4;
GROUND X42Y3;
GROUND X42Y2;
GROUND X42Y1;
GROUND X42Y0;
GROUND X41Y29;
GROUND X41Y28;
GROUND X41Y27;
GROUND X41Y26;
GROUND X41Y25;
GROUND X41Y24;
GROUND X41Y23;
GROUND X41Y22;
GROUND X41Y21;
GROUND X41Y20;
GROUND X41Y19;
GROUND X41Y18;
GROUND X41Y17;
GROUND X41Y16;
GROUND X41Y15;
GROUND X41Y14;
GROUND X41Y13;
GROUND X41Y12;
GROUND X41Y11;
GROUND X41Y10;
GROUND X41Y9;
GROUND X41Y8;
GROUND X41Y7;
GROUND X41Y6;
GROUND X41Y5;
GROUND X41Y4;
GROUND X41Y3;
GROUND X41Y2;
GROUND X41Y1;
GROUND X41Y0;
GROUND X40Y29;
GROUND X40Y28;
GROUND X40Y27;
GROUND X40Y26;
GROUND X40Y25;
GROUND X40Y24;
GROUND X40Y23;
GROUND X40Y22;
GROUND X40Y21;
GROUND X40Y20;
GROUND X40Y19;
GROUND X40Y18;
GROUND X40Y17;
GROUND X40Y16;
GROUND X40Y15;
GROUND X40Y14;
GROUND X40Y13;
GROUND X40Y12;
GROUND X40Y11;
GROUND X40Y10;
GROUND X40Y9;
GROUND X40Y8;
GROUND X40Y7;
GROUND X40Y6;
GROUND X40Y5;
GROUND X40Y4;
GROUND X40Y3;
GROUND X40Y2;
GROUND X40Y1;
GROUND X40Y0;
GROUND X39Y29;
GROUND X39Y28;
GROUND X39Y27;
GROUND X39Y26;
GROUND X39Y25;
GROUND X39Y24;
GROUND X39Y23;
GROUND X39Y22;
GROUND X39Y21;
GROUND X39Y20;
GROUND X39Y19;
GROUND X39Y18;
GROUND X39Y17;
GROUND X39Y16;
GROUND X39Y15;
GROUND X39Y14;
GROUND X39Y13;
GROUND X39Y12;
GROUND X39Y11;
GROUND X39Y10;
